Protein	logFC	AveExpr	t	P.Value	adj.P.Val	B	status	Comparison	Gene
P54818	-3.03	20.55	-9.08420202160134	1.3361497966706757e-8	8.497912706825498e-6	9.93	Decreased	Actn 15mg vs NaCl	Galc
O09159	-2.26	21.14	-8.13358819834489	7.956403310251708e-8	2.530136252660043e-5	8.24	Decreased	Actn 15mg vs NaCl	Man2b1
P20060	-2.19	22.35	-7.59007469400035	2.3276004950387372e-7	4.189831331657375e-5	7.2	Decreased	Actn 15mg vs NaCl	Hexb
Q8K2I4	-2.3	19.52	-7.461534288368586	3.0177130631676243e-7	4.189831331657375e-5	6.95	Decreased	Actn 15mg vs NaCl	Manba
Q8VC60	-2.78	20.54	-7.418430608225545	3.2938925563344137e-7	4.189831331657375e-5	6.87	Decreased	Actn 15mg vs NaCl	Glb1l
Q99LJ1	-1.94	20.62	-6.836346005640174	1.1013278135888545e-6	1.1674074824041857e-4	5.69	Decreased	Actn 15mg vs NaCl	Fuca1
P24638	-1.95	19.18	-6.455907067274911	2.4836509608399814e-6	2.0831629650853396e-4	4.92	Decreased	Actn 15mg vs NaCl	Acp2
O35405	-2.28	21.81	-6.431150557987623	2.620330773692251e-6	2.0831629650853396e-4	4.84	Decreased	Actn 15mg vs NaCl	Pld3
P23780	-2.84	21.97	-6.213247957243406	4.213040735330399e-6	2.707246875109481e-4	4.38	Decreased	Actn 15mg vs NaCl	Glb1
P07141	2.35	16.62	6.199233774853708	4.3445864853807945e-6	2.707246875109481e-4	4.35	Increased	Actn 15mg vs NaCl	Csf1
P55849	2.99	19.25	6.165154571264065	4.682345224245957e-6	2.707246875109481e-4	4.28	Increased	Actn 15mg vs NaCl	Dsc1
Q9R097	1.57	16.91	5.700147561715718	1.3187814051090165e-5	6.989541447077787e-4	3.3	Increased	Actn 15mg vs NaCl	Spint1
O35657	-2.12	21.78	-5.612576741605187	1.6071859543522586e-5	7.862848207446434e-4	3.07	Decreased	Actn 15mg vs NaCl	Neu1
Q9QWR8	-1.93	19.93	-5.443474558818711	2.360107512450725e-5	0.0010315308384447979	2.74	Decreased	Actn 15mg vs NaCl	Naga
Q3UMW8	-1.98	18.55	-5.43016817412958	2.4328557510490516e-5	0.0010315308384447979	2.66	Decreased	Actn 15mg vs NaCl	Cln5
O35448	-1.92	20.46	-5.173213796529045	4.387011023217526e-5	0.0017438368817289667	2.09	Decreased	Actn 15mg vs NaCl	Ppt2
P61110	3.91	17.99	5.128607915079686	4.862768087303499e-5	0.001819247355014721	1.99	Increased	Actn 15mg vs NaCl	Kap
Q9D7Z6	-1.92	17.07	-4.897046360193591	8.32020923484056e-5	0.0027839246743127832	1.59	Decreased	Actn 15mg vs NaCl	Clca1
Q7TMR0	-1.83	20.46	-4.871481984348441	8.830627396210279e-5	0.0027839246743127832	1.4	Decreased	Actn 15mg vs NaCl	Prcp
P16406	-1.32	20.97	-4.858633134467136	9.099027777111085e-5	0.0027839246743127832	1.37	Decreased	Actn 15mg vs NaCl	Enpep
Q80X71	-2.28	18.18	-4.854262156107412	9.192204113296926e-5	0.0027839246743127832	1.36	Decreased	Actn 15mg vs NaCl	Tmem106b
Q02819	2.22	19.24	4.778261805893367	1.097590116872807e-4	0.0031730332469595696	1.19	Increased	Actn 15mg vs NaCl	Nucb1
P17439	-1.57	18	-4.50937248086715	2.0609788626148044e-4	0.005461593985929231	0.66	Decreased	Actn 15mg vs NaCl	Gba1
P19783	1.48	17.04	4.520287929038304	2.0087997143265976e-4	0.005461593985929231	0.63	Increased	Actn 15mg vs NaCl	Cox4i1
P17047	-1.87	19.21	-4.4811304675360235	2.2024080046481525e-4	0.0056029259638249	0.52	Decreased	Actn 15mg vs NaCl	Lamp2
Q8JZQ5	3.44	20.65	4.4055272586863	2.630990015834945e-4	0.006435806346427019	0.42	Increased	Actn 15mg vs NaCl	Aoc1
O35298	-2.23	19.59	-4.342707006005412	3.050281941959706e-4	0.007185108574393975	0.19	Decreased	Actn 15mg vs NaCl	Aoah
P70663	4	17.06	4.320567399912075	3.2135354868031296e-4	0.007206347544757735	0.14	Increased	Actn 15mg vs NaCl	Sparcl1
P20108	-2.19	16.79	-4.31111084808219	3.285913188647395e-4	0.007206347544757735	0.13	Decreased	Actn 15mg vs NaCl	Prdx3
Q8CCH2	-1.65	18.26	-4.233827602685853	3.942151003470375e-4	0.008357360127357194	-0.06	Decreased	Actn 15mg vs NaCl	Nhlrc3
Q571E4	-3.04	20.52	-4.149068898161403	4.8138483165737395e-4	0.009277598573760298	-0.13	Decreased	Actn 15mg vs NaCl	Galns
Q9ET22	-2.13	23.06	-4.159103198889661	4.701326274989687e-4	0.009277598573760298	-0.18	Decreased	Actn 15mg vs NaCl	Dpp7
Q9D687	-1.47	18.57	-4.153882491414077	4.75953761445997e-4	0.009277598573760298	-0.2	Decreased	Actn 15mg vs NaCl	Slc6a19
Q9DCW4	1.76	17.11	4.110912098035386	5.266879780640721e-4	0.009317863105613968	-0.3	Increased	Actn 15mg vs NaCl	Etfb
Q64433	1.85	18.64	4.1151444216336115	5.214597828644141e-4	0.009317863105613968	-0.33	Increased	Actn 15mg vs NaCl	Hspe1
P35459	2.82	17.6	4.110317868250144	5.27426213525319e-4	0.009317863105613968	-0.34	Increased	Actn 15mg vs NaCl	Ly6d
Q91YH6	1.73	18.09	4.080500829275992	5.658277712242404e-4	0.009726120608070727	-0.37	Increased	Actn 15mg vs NaCl	Atp6v1b1
P12265	-3.83	20.24	-4.056217611908566	5.991565486830883e-4	0.010027988551643267	-0.46	Decreased	Actn 15mg vs NaCl	Gusb
Q9WV54	-1.95	21.77	-4.027213741454494	6.415421517558252e-4	0.01046207201324884	-0.53	Decreased	Actn 15mg vs NaCl	Asah1
Q60847	1.7	19.91	3.936896036769221	7.936470611431594e-4	0.012311208070415839	-0.59	Increased	Actn 15mg vs NaCl	Col12a1
P35486	1.79	15.58	3.9918573341145396	6.972769184064462e-4	0.011086703002662495	-0.61	Increased	Actn 15mg vs NaCl	Pdha1
P28843	-0.9	20.4	-3.9135551564375888	8.384836151666903e-4	0.012697037601095595	-0.73	Decreased	Actn 15mg vs NaCl	Dpp4
P09470	-1.15	21.19	-3.81600347828825	0.0010547917183979761	0.01560110541630495	-0.95	Decreased	Actn 15mg vs NaCl	Ace
P46467	1.57	13.76	3.736599561524455	0.0012710836105460557	0.017964648362384254	-1.15	Increased	Actn 15mg vs NaCl	Vps4b
P15306	2.11	15.64	3.741336725812066	0.0012570281483532814	0.017964648362384254	-1.18	Increased	Actn 15mg vs NaCl	Thbd
Q9JLB4	-1.71	20.44	-3.699263559050824	0.0013874470365479938	0.018934611888596308	-1.27	Decreased	Actn 15mg vs NaCl	Cubn
P18242	-1.48	21.58	-3.6733293503741837	0.0014744184935108953	0.019536045039019363	-1.28	Decreased	Actn 15mg vs NaCl	Ctsd
P11672	2.47	18.23	3.695649383802871	0.001399255910006331	0.018934611888596308	-1.28	Increased	Actn 15mg vs NaCl	Lcn2
P01898	1.62	19.14	3.5636182849580726	0.001905928883273535	0.02331097634157631	-1.33	Increased	Actn 15mg vs NaCl	H2-Q10
O35664	1.47	17.31	3.6347433463025514	0.0016138845366820633	0.020947562557750862	-1.42	Increased	Actn 15mg vs NaCl	Ifnar2
P51655	-1.11	20.38	-3.60795732804189	0.0017182842966494054	0.021856576253380437	-1.48	Decreased	Actn 15mg vs NaCl	Gpc4
P61982	1.45	16.84	3.5795701702694953	0.0018362012521016078	0.02289850973209064	-1.52	Increased	Actn 15mg vs NaCl	Ywhag
Q9WUU7	-1.24	23.4	-3.4727374529373485	0.0023558531072848817	0.02774671437468861	-1.75	Decreased	Actn 15mg vs NaCl	Ctsz
P12961	2.42	16.32	3.474767306358221	0.002344746601382248	0.02774671437468861	-1.77	Increased	Actn 15mg vs NaCl	Scg5
O08677	1.02	22.23	3.4145564561025727	0.0026971078921985275	0.03115198887737011	-1.91	Increased	Actn 15mg vs NaCl	Kng1
P61027	2.21	15.07	3.4000619245665433	0.0027894037982121177	0.03115198887737011	-1.94	Increased	Actn 15mg vs NaCl	Rab10
A2ARV4	-0.91	22.5	-3.39967284217936	0.0027919235314624157	0.03115198887737011	-1.94	Decreased	Actn 15mg vs NaCl	Lrp2
P26443	1.92	16.13	3.3870047347337082	0.002875193205682958	0.03152798066921312	-1.97	Increased	Actn 15mg vs NaCl	Glud1
Q99N23	1.07	19.98	3.3277482315038456	0.0032981197750066695	0.03496006961507069	-2.09	Increased	Actn 15mg vs NaCl	Ca15
P08228	-1.46	17.48	-3.333744050164379	0.003252699391146344	0.03496006961507069	-2.09	Decreased	Actn 15mg vs NaCl	Sod1
Q9ESG4	-1.89	18.78	-3.2808079791702633	0.003675781440293262	0.03670307132303238	-2.11	Decreased	Actn 15mg vs NaCl	Cltrn
B5X0G2	-3.08	16.88	-3.30659450584673	0.003463372813554892	0.036109919826572315	-2.12	Decreased	Actn 15mg vs NaCl	Mup17
P11247	-2.05	17.01	-3.212178020046813	0.0043049261476529495	0.039120872342805875	-2.14	Decreased	Actn 15mg vs NaCl	Mpo
Q04519	-1.61	19.2	-3.290608073840758	0.003593598733020428	0.03670307132303238	-2.18	Decreased	Actn 15mg vs NaCl	Smpd1
P10649	-1.34	20.51	-3.2787359414627546	0.0036933908249592337	0.03670307132303238	-2.21	Decreased	Actn 15mg vs NaCl	Gstm1
P09803	1.59	21.58	3.2647880749227594	0.003814088296896541	0.03731938702809539	-2.22	Increased	Actn 15mg vs NaCl	Cdh1
Q8K2B3	1.24	15.18	3.2529665560176024	0.003919390394439512	0.03776867107368985	-2.25	Increased	Actn 15mg vs NaCl	Sdha
E9Q3E1	1.54	17	3.2120940824432425	0.004305756389931465	0.039120872342805875	-2.3	Increased	Actn 15mg vs NaCl	Aldh3b2
Q01279	-1.28	19.58	-3.233846191400296	0.004095734847593892	0.03887891586671217	-2.31	Decreased	Actn 15mg vs NaCl	Egfr
Q922U2	-1.85	19.19	-3.2200176031806667	0.004228066477900639	0.039120872342805875	-2.34	Decreased	Actn 15mg vs NaCl	Krt5
P04104	-2.72	19.4	-3.036327820228014	0.006432782749603491	0.05218279790721058	-2.45	Not significant	Actn 15mg vs NaCl	Krt1
P09103	1.26	17.36	3.1270442361765047	0.005232127347760169	0.04684448240181852	-2.54	Increased	Actn 15mg vs NaCl	P4hb
Q9R069	1.12	17.57	3.1211417402145214	0.005303148951149267	0.04684448240181852	-2.55	Increased	Actn 15mg vs NaCl	Bcam
O09051	1.58	20.77	3.0502225099333975	0.006232981162460645	0.05218279790721058	-2.57	Not significant	Actn 15mg vs NaCl	Guca2b
Q8BFR5	2.06	16.03	3.1138937087931997	0.005391639989259391	0.04697374018039688	-2.57	Increased	Actn 15mg vs NaCl	Tufm
P02535	-3.33	20.23	-3.028447898804043	0.006548828292529879	0.05218279790721058	-2.61	Not significant	Actn 15mg vs NaCl	Krt10
O09043	-1.2	25.03	-3.0219577647390135	0.0066459223749749325	0.05218279790721058	-2.61	Not significant	Actn 15mg vs NaCl	Napsa
P62259	1.06	15.99	3.0666586934436935	0.006004372170370223	0.051605144599398134	-2.67	Not significant	Actn 15mg vs NaCl	Ywhae
Q91VW3	1.7	23.15	2.968709506538415	0.0074966972724316485	0.05744457187068107	-2.72	Not significant	Actn 15mg vs NaCl	Sh3bgrl3
Q9DCD0	-2.13	17.08	-3.022299828861929	0.00664077050103113	0.05218279790721058	-2.72	Not significant	Actn 15mg vs NaCl	Pgd
O35129	0.93	16.47	3.042311294175665	0.006345994918030997	0.05218279790721058	-2.72	Not significant	Actn 15mg vs NaCl	Phb2
Q61129	1.23	19.06	3.0308095933228487	0.006513837742368802	0.05218279790721058	-2.75	Not significant	Actn 15mg vs NaCl	Cfi
P18761	-1.79	17.12	-2.9887887855666166	0.007164228400121918	0.0555664544204578	-2.84	Not significant	Actn 15mg vs NaCl	Ca6
O88531	-1.1	19.5	-2.959759352739931	0.00764963395573461	0.05791865709341919	-2.9	Not significant	Actn 15mg vs NaCl	Ppt1
Q61503	-1.22	17.84	-2.9449413976136647	0.00790945917332959	0.059181365108677865	-2.93	Not significant	Actn 15mg vs NaCl	Nt5e
Q99KI0	1.38	18.59	2.9061255122315077	0.008630919632169895	0.06350145117278752	-2.99	Not significant	Actn 15mg vs NaCl	Aco2
P10493	2.26	20.98	2.8861510478844075	0.00902639031461743	0.06378649155662984	-3.01	Not significant	Actn 15mg vs NaCl	Nid1
Q8VHF2	-1.94	19.25	-2.9032648691308194	0.008686519264202067	0.06350145117278752	-3.02	Not significant	Actn 15mg vs NaCl	Cdhr5
P13020	1.17	22.26	2.8488751196492226	0.009811328391458896	0.06686438560568912	-3.02	Not significant	Actn 15mg vs NaCl	Gsn
P08003	1.6	15.97	2.894831936489785	0.0088524292066548	0.06378649155662984	-3.04	Not significant	Actn 15mg vs NaCl	Pdia4
P11589	1.47	22.45	2.8903202247963162	0.008942436667861573	0.06378649155662984	-3.05	Not significant	Actn 15mg vs NaCl	Mup2
Q9QUI0	1.89	15.11	2.8779734175651575	0.009193260885609332	0.06425180135436852	-3.07	Not significant	Actn 15mg vs NaCl	Rhoa
Q8K353	1.67	16.81	2.8663178180990974	0.009436219670188114	0.06523299685043088	-3.1	Not significant	Actn 15mg vs NaCl	Cystm1
Q9QUH0	1.13	16.64	2.84089753968352	0.009987604768145388	0.06686438560568912	-3.11	Not significant	Actn 15mg vs NaCl	Glrx
Q9D3H2	-1.59	18.9	-2.8426991660682184	0.009947532307582826	0.06686438560568912	-3.11	Not significant	Actn 15mg vs NaCl	Obp1a
Q925F2	-1.17	18.18	-2.832285914555094	0.010181289769213876	0.06740056232094022	-3.14	Not significant	Actn 15mg vs NaCl	Esam
P11679	1.03	16.51	2.827972604740788	0.010279645511212581	0.06740056232094022	-3.15	Not significant	Actn 15mg vs NaCl	Krt8
Q9QZZ6	1.86	17.16	2.7915671176136185	0.011146732750543363	0.07160931342773312	-3.21	Not significant	Actn 15mg vs NaCl	Dpt
Q49B93	0.89	16.62	2.7329036856172664	0.012692326936050442	0.07791023033789693	-3.24	Not significant	Actn 15mg vs NaCl	Slc5a12
Q61771	1.27	17.19	2.793394745961607	0.01110158787482517	0.07160931342773312	-3.25	Not significant	Actn 15mg vs NaCl	Kif3b
Q91VD9	1.41	15.74	2.734603096531771	0.012644817455455658	0.07791023033789693	-3.27	Not significant	Actn 15mg vs NaCl	Ndufs1
Q09324	-0.87	19.27	-2.765465344624863	0.011810891363174392	0.07511726906978913	-3.27	Not significant	Actn 15mg vs NaCl	Gcnt1
Q99KR8	-1.11	18.23	-2.7575768560355813	0.01201892100648168	0.0756835025754688	-3.32	Not significant	Actn 15mg vs NaCl	Fuca2
Q920A5	-1.56	19.18	-2.7312031499131626	0.01274003766531648	0.07791023033789693	-3.38	Not significant	Actn 15mg vs NaCl	Scpep1
Q91V98	1.16	17.14	2.7039703694597113	0.013527690434408256	0.08074666347770733	-3.42	Not significant	Actn 15mg vs NaCl	Cd248
P21614	1.7	18.29	2.7080989031714147	0.013405378082894473	0.08074666347770733	-3.42	Not significant	Actn 15mg vs NaCl	Gc
O08692	-1.87	17.56	-2.65285455290865	0.015132406900381094	0.08749282535129432	-3.43	Not significant	Actn 15mg vs NaCl	Ngp
Q9CYN9	1.17	15.95	2.7020569031988564	0.013584737408985352	0.08074666347770733	-3.43	Not significant	Actn 15mg vs NaCl	Atp6ap2
P16858	1.19	17.63	2.6971091723089993	0.013733306064324505	0.08087391348991098	-3.45	Not significant	Actn 15mg vs NaCl	Gapdh
P01887	1.65	22	2.607558647248399	0.01670335834320779	0.09448293822552578	-3.48	Not significant	Actn 15mg vs NaCl	B2m
P21460	1.32	21.58	2.663260125478756	0.01479179323742108	0.08630807797247529	-3.51	Not significant	Actn 15mg vs NaCl	Cst3
P15947	1.8	25.22	2.605259572902373	0.016787062923717632	0.09448293822552578	-3.51	Not significant	Actn 15mg vs NaCl	Klk1
Q3UZZ4	-1.26	17.65	-2.629174371230144	0.015935395707414653	0.09130551053978125	-3.57	Not significant	Actn 15mg vs NaCl	Olfm4
Q9R0G6	1.87	17.11	2.5274712449307817	0.019863385988628426	0.10616061755266956	-3.65	Not significant	Actn 15mg vs NaCl	Comp
P31809	1.76	16.67	2.5886160140295487	0.017404916807457843	0.09710111482055428	-3.66	Not significant	Actn 15mg vs NaCl	Ceacam1
Q05793	1.17	18.76	2.460758416816626	0.02291524274313567	0.11297747584987819	-3.69	Not significant	Actn 15mg vs NaCl	Hspg2
P52480	-1.1	17.92	-2.3821577401327896	0.027070641185103977	0.13043127116459188	-3.69	Not significant	Actn 15mg vs NaCl	Pkm
P08249	1.09	20.41	2.4881156530407864	0.02161424661504258	0.10895855085872559	-3.73	Not significant	Actn 15mg vs NaCl	Mdh2
O70362	-0.74	16.96	-2.4902011412221707	0.021517955711587284	0.10895855085872559	-3.73	Not significant	Actn 15mg vs NaCl	Gpld1
P49935	-1.23	15.48	-2.5312396683783986	0.01970289832319288	0.10616061755266956	-3.74	Not significant	Actn 15mg vs NaCl	Ctsh
Q60648	-1.98	21.91	-2.4850302098206525	0.021757446476506525	0.10895855085872559	-3.75	Not significant	Actn 15mg vs NaCl	Gm2a
P29416	-1.01	17.1	-2.5453521305582822	0.019112627784451237	0.1057011414861825	-3.75	Not significant	Actn 15mg vs NaCl	Hexa
P01837	1.43	20.31	2.5406922237455696	0.019305673536543128	0.10584834801070198	-3.76	Not significant	Actn 15mg vs NaCl	Igkc
P70699	-1.31	20.51	-2.5292827879415203	0.019786084532786755	0.10616061755266956	-3.77	Not significant	Actn 15mg vs NaCl	Gaa
Q8BFR4	-0.9	21.71	-2.509872227013675	0.02062924126625035	0.10895855085872559	-3.78	Not significant	Actn 15mg vs NaCl	Gns
Q9CZ13	1.36	15.66	2.480327559398338	0.021977410032420503	0.10920025609858937	-3.8	Not significant	Actn 15mg vs NaCl	Uqcrc1
Q9WVJ3	-0.95	21.42	-2.5031496760733423	0.020929019507466482	0.10895855085872559	-3.83	Not significant	Actn 15mg vs NaCl	Cpq
Q9DAS9	1.48	15.72	2.485689331636308	0.021726781394131804	0.10895855085872559	-3.84	Not significant	Actn 15mg vs NaCl	Gng12
P11404	0.99	18.75	2.4965430096870556	0.021227598864489265	0.10895855085872559	-3.85	Not significant	Actn 15mg vs NaCl	Fabp3
Q8BM88	-1.32	19.08	-2.495680686303873	0.021266863145206386	0.10895855085872559	-3.85	Not significant	Actn 15mg vs NaCl	Ctso
P02816	1.12	23.03	2.393642900389121	0.02642263703063765	0.12926767039604267	-3.95	Not significant	Actn 15mg vs NaCl	Pip
Q8R464	1.68	17.23	2.386763923261889	0.02680900547131645	0.13015669831875773	-4	Not significant	Actn 15mg vs NaCl	Cadm4
P08730	-3.34	20.15	-2.367267407008927	0.02793270731812277	0.1325761332412394	-4.03	Not significant	Actn 15mg vs NaCl	Krt13
Q60931	-1.52	20.02	-2.3779818944321334	0.027309877306321447	0.13059460125428904	-4.08	Not significant	Actn 15mg vs NaCl	Vdac3
P20029	0.98	22.66	2.3115340985958337	0.03138979259337244	0.14115409424474373	-4.14	Not significant	Actn 15mg vs NaCl	Hspa5
Q3TCN2	-1.79	18.29	-2.342411122463952	0.029428572082981115	0.1386412729242666	-4.14	Not significant	Actn 15mg vs NaCl	Plbd2
Q61247	-0.72	17	-2.336629141519978	0.029786990371255945	0.13925476394899655	-4.15	Not significant	Actn 15mg vs NaCl	Serpinf2
Q60932	-1.4	22.87	-2.3332758117984134	0.029996702297189506	0.13925476394899655	-4.16	Not significant	Actn 15mg vs NaCl	Vdac1
P11627	0.96	17.42	2.3253386934502664	0.030498520148535567	0.14055839720629434	-4.17	Not significant	Actn 15mg vs NaCl	L1cam
Q8VCS0	-1.2	21.3	-2.3080586191314194	0.031617933412110666	0.14115409424474373	-4.19	Not significant	Actn 15mg vs NaCl	Pglyrp2
O54782	-0.86	20.35	-2.3128714790745533	0.03130240785707593	0.14115409424474373	-4.2	Not significant	Actn 15mg vs NaCl	Man2b2
P50429	-0.85	20.49	-2.3086098977101073	0.03158164419770421	0.14115409424474373	-4.21	Not significant	Actn 15mg vs NaCl	Arsb
P70158	-1.65	19.95	-2.3062467135017477	0.03173747716509175	0.14115409424474373	-4.21	Not significant	Actn 15mg vs NaCl	Smpdl3a
P11276	0.86	22.15	2.300702842082777	0.03210583435689891	0.14180076840963687	-4.22	Not significant	Actn 15mg vs NaCl	Fn1
P97298	-1.42	16.3	-2.2894711942349937	0.032864202203588586	0.14304389086787572	-4.24	Not significant	Actn 15mg vs NaCl	Serpinf1
P55288	1.09	21.25	2.2360742067809585	0.03669982843935228	0.15202147054466272	-4.24	Not significant	Actn 15mg vs NaCl	Cdh11
P06151	-0.95	18.73	-2.2887335095454957	0.03291458328495144	0.14304389086787572	-4.24	Not significant	Actn 15mg vs NaCl	Ldha
P29788	1.2	18.39	2.286580511275266	0.0330620313798392	0.14304389086787572	-4.25	Not significant	Actn 15mg vs NaCl	Vtn
Q9D7R7	1.11	15.98	2.2772522872568084	0.03370791617294083	0.1448529370675025	-4.27	Not significant	Actn 15mg vs NaCl	Pgc
P07744	-2.77	19.57	-2.2314673872464055	0.03704925775852629	0.15202147054466272	-4.28	Not significant	Actn 15mg vs NaCl	Krt4
Q8CHT0	1.46	15.12	2.258450450531012	0.03504510821703627	0.14958851561097358	-4.28	Not significant	Actn 15mg vs NaCl	Aldh4a1
P61971	1.43	20.98	2.232725962823302	0.036953493293964544	0.15202147054466272	-4.3	Not significant	Actn 15mg vs NaCl	Nutf2
Q80YC5	0.83	17.64	2.2550433438171056	0.03529256865218859	0.14964049108527963	-4.31	Not significant	Actn 15mg vs NaCl	F12
Q62468	0.68	17.52	2.239452137713241	0.036445530132912116	0.15202147054466272	-4.31	Not significant	Actn 15mg vs NaCl	Vil1
Q91WV7	-0.77	19.62	-2.2219347108058183	0.0377819973245512	0.15403429678470873	-4.34	Not significant	Actn 15mg vs NaCl	Slc3a1
Q61838	-1.01	23.29	-2.237843387412977	0.036566438672714065	0.15202147054466272	-4.34	Not significant	Actn 15mg vs NaCl	Pzp
Q8K0H1	0.67	16.23	2.149992308814329	0.043752823753534564	0.16864724792271504	-4.4	Not significant	Actn 15mg vs NaCl	Slc47a1
Q8BZT5	-1	17.56	-2.2064463615605643	0.039000807758312404	0.15729916037814015	-4.4	Not significant	Actn 15mg vs NaCl	Lrrc19
P67778	1.38	15.9	2.2054870639261086	0.039077464370670036	0.15729916037814015	-4.4	Not significant	Actn 15mg vs NaCl	Phb1
Q9ES30	-0.95	16.05	-2.194329167179038	0.03997923336888177	0.1596395776743996	-4.42	Not significant	Actn 15mg vs NaCl	C1qtnf3
Q921V5	-0.98	15.35	-2.1900835645255596	0.04032731120786793	0.1596395776743996	-4.43	Not significant	Actn 15mg vs NaCl	Mgat2
B0V2N1	0.67	14.14	2.1890567865351525	0.040411905669148325	0.1596395776743996	-4.43	Not significant	Actn 15mg vs NaCl	Ptprs
P28741	1.03	16.45	2.1622490436538078	0.04267852148314176	0.16652478321029546	-4.45	Not significant	Actn 15mg vs NaCl	Kif3a
Q05909	0.7	17.3	2.173414366964581	0.04172079692228634	0.16379275828749454	-4.46	Not significant	Actn 15mg vs NaCl	Ptprg
P16675	-0.92	23.83	-2.031285353986507	0.055495508553929845	0.1971795722921753	-4.49	Not significant	Actn 15mg vs NaCl	Ctsa
Q8VI78	-1.1	18.83	-2.108564033200702	0.04756794898938521	0.17691938922367834	-4.5	Not significant	Actn 15mg vs NaCl	Pla1a
Q64331	0.55	16.92	2.150515638017464	0.043706457024891086	0.16864724792271504	-4.5	Not significant	Actn 15mg vs NaCl	Myo6
Q61282	0.98	19.49	2.047296860276231	0.05376175489853681	0.19317783116084414	-4.5	Not significant	Actn 15mg vs NaCl	Acan
P45700	-0.97	17.31	-2.0783609829631957	0.05053608210088059	0.18471809319632218	-4.52	Not significant	Actn 15mg vs NaCl	Man1a1
Q60597	0.93	16.8	2.092372756256575	0.04913895433914923	0.18064956624103418	-4.52	Not significant	Actn 15mg vs NaCl	Ogdh
P51863	0.68	17.06	2.1256244396419244	0.04596182858420255	0.17582544979287562	-4.54	Not significant	Actn 15mg vs NaCl	Atp6v0d1
P50518	0.98	17.41	2.123404540567199	0.046168003326116716	0.17582544979287562	-4.55	Not significant	Actn 15mg vs NaCl	Atp6v1e1
Q9DBJ1	1.06	16.38	2.11935636659771	0.04654613561424163	0.17621037053962904	-4.55	Not significant	Actn 15mg vs NaCl	Pgam1
Q08189	-1.96	17.07	-2.067277566284416	0.051666441877520695	0.18777061162344663	-4.56	Not significant	Actn 15mg vs NaCl	Tgm3
Q8VDD5	-1.05	16.6	-2.114118550165768	0.047039545481159864	0.17691938922367834	-4.56	Not significant	Actn 15mg vs NaCl	Myh9
Q07456	1.06	24.33	2.1087290596586294	0.04755217298451984	0.17691938922367834	-4.57	Not significant	Actn 15mg vs NaCl	Ambp
Q64339	0.71	18.84	2.1053490434313824	0.04787623636147406	0.17703073445289247	-4.58	Not significant	Actn 15mg vs NaCl	Isg15
Q8VCM7	-1.35	18.72	-2.0011428520777126	0.058895680028876324	0.20581127746354583	-4.59	Not significant	Actn 15mg vs NaCl	Fgg
Q8VEM8	-0.9	20.97	-2.053468724936434	0.05310653212405728	0.1919076956301161	-4.66	Not significant	Actn 15mg vs NaCl	Slc25a3
Q8BJF9	0.73	16.03	2.0407554486208603	0.054464116705968006	0.19460212485952613	-4.67	Not significant	Actn 15mg vs NaCl	Chmp2b
Q8VCI0	-1.17	16.56	-1.9152333712788563	0.06962662072320099	0.23429910465585094	-4.72	Not significant	Actn 15mg vs NaCl	Plbd1
P45376	1.04	19.01	2.0043032452868683	0.05853065022730843	0.2056657101909843	-4.74	Not significant	Actn 15mg vs NaCl	Akr1b1
P62814	0.92	17.95	2.0119845755944197	0.057651850198386506	0.20370320403429898	-4.74	Not significant	Actn 15mg vs NaCl	Atp6v1b2
P07724	1.28	26.48	1.9908599549421282	0.06009745952793415	0.20772817532481586	-4.76	Not significant	Actn 15mg vs NaCl	Alb
Q9JIL4	0.66	19.48	1.994074590492474	0.05971943238409687	0.2075495027119432	-4.77	Not significant	Actn 15mg vs NaCl	Pdzk1
O08997	1.94	15.98	1.9839776456268532	0.06091396433784901	0.209412331453362	-4.79	Not significant	Actn 15mg vs NaCl	Atox1
P15379	0.77	21.02	1.8105847525160756	0.08499960649639576	0.25742737967479856	-4.81	Not significant	Actn 15mg vs NaCl	Cd44
Q5FW60	-0.97	21.49	-1.9675898939334713	0.06289804501124255	0.2150707345545713	-4.82	Not significant	Actn 15mg vs NaCl	Mup20
P10107	-1.23	18.51	-1.7994521905385505	0.0867972733943921	0.26142509641329387	-4.83	Not significant	Actn 15mg vs NaCl	Anxa1
O09114	0.68	22.9	1.942064725577179	0.06610281246679879	0.22482026058226753	-4.86	Not significant	Actn 15mg vs NaCl	Ptgds
Q9ES89	0.76	17.99	1.866576905636392	0.0764409931417237	0.24958140641490148	-4.86	Not significant	Actn 15mg vs NaCl	Extl2
P01867	-0.92	15.7	-1.8439989759009092	0.07979698190776205	0.25000433740559935	-4.87	Not significant	Actn 15mg vs NaCl	Ighg2b
Q9WV91	0.67	17.67	1.7403934507963579	0.09689488737423696	0.27897852630164155	-4.87	Not significant	Actn 15mg vs NaCl	Ptgfrn
Q9JIZ9	-0.81	18.98	-1.8319390452081605	0.0816417735140498	0.25251038398951065	-4.89	Not significant	Actn 15mg vs NaCl	Plscr3
P16110	-0.68	16.98	-1.9248351758938722	0.06834698426988113	0.23121639359385318	-4.89	Not significant	Actn 15mg vs NaCl	Lgals3
P06683	-1.06	18.17	-1.8608216311364971	0.07728450788574938	0.24958140641490148	-4.9	Not significant	Actn 15mg vs NaCl	C9
