Protein	logFC	AveExpr	t	P.Value	adj.P.Val	B	status	Comparison	Gene
O54901	-0.47	18.05	-1.389703300832656	0.1796400603095354	0.47193353597304083	-5.72	Not significant	Venom + Actn 15mg vs Venom	Cd200
P14148	0.75	16.1	1.3559527407532213	0.1899743579577317	0.485235709482399	-5.72	Not significant	Venom + Actn 15mg vs Venom	Rpl7
Q91YH6	-0.56	18.09	-1.38745503507802	0.18031422836705804	0.47193353597304083	-5.73	Not significant	Venom + Actn 15mg vs Venom	Atp6v1b1
P24369	0.4	18.26	1.3760894047632646	0.18375330711829863	0.47626519064094547	-5.73	Not significant	Venom + Actn 15mg vs Venom	Ppib
P11247	-0.67	17.01	-1.3424302668350057	0.19424481337660404	0.48829921465422993	-5.74	Not significant	Venom + Actn 15mg vs Venom	Mpo
Q9CQD4	0.79	16.44	1.3749110451996114	0.18411283073527906	0.47626519064094547	-5.74	Not significant	Venom + Actn 15mg vs Venom	Chmp1b2
Q99LC5	0.59	16.48	1.3267006403746575	0.19930717055497293	0.491007032856297	-5.74	Not significant	Venom + Actn 15mg vs Venom	Etfa
Q9QWR8	0.45	19.93	1.3193504002591696	0.20170800295323396	0.49340880722406466	-5.74	Not significant	Venom + Actn 15mg vs Venom	Naga
Q61581	0.63	20.69	1.3720495624321543	0.1849882142848806	0.4763259282800974	-5.75	Not significant	Venom + Actn 15mg vs Venom	Igfbp7
O88668	-0.96	18.7	-1.349648167040137	0.19195603473083975	0.48639058999527524	-5.76	Not significant	Venom + Actn 15mg vs Venom	Creg1
P00687	0.94	19.88	1.3596424787486403	0.1888221208834469	0.4842373745236784	-5.76	Not significant	Venom + Actn 15mg vs Venom	Amy1
O35744	0.74	15.67	1.3509010223870812	0.191560936830323	0.48639058999527524	-5.77	Not significant	Venom + Actn 15mg vs Venom	Chil3
Q9QZZ6	-0.86	17.16	-1.3438979476071289	0.19377767942899476	0.48829921465422993	-5.78	Not significant	Venom + Actn 15mg vs Venom	Dpt
P03953	0.81	23.65	1.3295587836898406	0.19837968775832615	0.491007032856297	-5.78	Not significant	Venom + Actn 15mg vs Venom	Cfd
P18181	-0.6	17.82	-1.3377134127877117	0.19575211173218998	0.4901509569357198	-5.79	Not significant	Venom + Actn 15mg vs Venom	Cd48
Q9D7R7	-0.65	15.98	-1.3287421777092325	0.19864433397253675	0.491007032856297	-5.79	Not significant	Venom + Actn 15mg vs Venom	Pgc
P11087	0.89	23.28	1.3146904927666248	0.2032417861905196	0.4952558468090823	-5.8	Not significant	Venom + Actn 15mg vs Venom	Col1a1
Q9CQF9	0.52	17.5	1.3271298840738623	0.1991676617238149	0.491007032856297	-5.8	Not significant	Venom + Actn 15mg vs Venom	Pcyox1
Q61592	0.71	18.99	1.3247131654911042	0.19995412187072473	0.491007032856297	-5.81	Not significant	Venom + Actn 15mg vs Venom	Gas6
A2ARV4	0.36	22.5	1.287056047430309	0.21252567721458618	0.5081441004078076	-5.81	Not significant	Venom + Actn 15mg vs Venom	Lrp2
P46467	-0.58	13.76	-0.9801882848798492	0.3385059210914595	0.6224462658077888	-5.81	Not significant	Venom + Actn 15mg vs Venom	Vps4b
O08709	-0.85	17.32	-1.307641933365901	0.2055791077285861	0.498063951600866	-5.82	Not significant	Venom + Actn 15mg vs Venom	Prdx6
Q91V41	0.32	17.19	1.2978657536196028	0.20885560249797402	0.5012534459951377	-5.83	Not significant	Venom + Actn 15mg vs Venom	Rab14
