Protein	logFC	AveExpr	t	P.Value	adj.P.Val	B	status	Comparison	Gene
Q921I1	-2.27	23.43	-3.5813190363003655	0.0018287114378445568	0.013683064405519273	-1.58	Decreased	Venom + JPM-OEt 100mg vs Venom	Tf
Q61171	-3.53	18.68	-3.5653166942422736	0.0018983825057871044	0.014039200856751144	-1.62	Decreased	Venom + JPM-OEt 100mg vs Venom	Prdx2
Q64331	0.99	16.92	3.5169750436539537	0.0021251248994025866	0.015391594117349817	-1.64	Increased	Venom + JPM-OEt 100mg vs Venom	Myo6
Q05793	-1.32	18.76	-3.501976884200568	0.0022007442767679633	0.01572666696656657	-1.73	Decreased	Venom + JPM-OEt 100mg vs Venom	Hspg2
P01027	-1.79	20.55	-3.516061971444902	0.002129654531960352	0.015391594117349817	-1.73	Decreased	Venom + JPM-OEt 100mg vs Venom	C3
P01635	-1.61	19.23	-3.4725027637825967	0.0023571405571020773	0.016657126603521345	-1.82	Decreased	Venom + JPM-OEt 100mg vs Venom	Igkv12-41
P63082	3.05	17.04	3.4174624304723844	0.0026789674046615608	0.018501024998675418	-1.91	Increased	Venom + JPM-OEt 100mg vs Venom	Atp6v0c
P05201	-1.18	16.47	-3.427932494935521	0.002614595178283811	0.0182734344328407	-1.92	Decreased	Venom + JPM-OEt 100mg vs Venom	Got1
Q8BGH2	1.61	19.27	3.4132442786935875	0.0027053385611270657	0.018501024998675418	-1.96	Increased	Venom + JPM-OEt 100mg vs Venom	Samm50
O54901	-1.14	18.05	-3.3775233502284845	0.002939103395406583	0.019676523783985125	-2.03	Decreased	Venom + JPM-OEt 100mg vs Venom	Cd200
Q9DB34	1.06	18.11	3.3792029772025747	0.00292768116989268	0.019676523783985125	-2.03	Increased	Venom + JPM-OEt 100mg vs Venom	Chmp2a
P20060	1.03	22.35	3.2929105726403325	0.003574551969452595	0.023437268583214953	-2.13	Increased	Venom + JPM-OEt 100mg vs Venom	Hexb
Q9D7Z6	-0.97	17.07	-3.313609735280171	0.003407692548240357	0.022575963132092366	-2.18	Decreased	Venom + JPM-OEt 100mg vs Venom	Clca1
P55849	-1.59	19.25	-3.2783623012041474	0.003696574986879891	0.023990017261791945	-2.25	Decreased	Venom + JPM-OEt 100mg vs Venom	Dsc1
Q07076	0.83	16.9	3.2548074528236985	0.003902807944756558	0.025072584372375462	-2.31	Increased	Venom + JPM-OEt 100mg vs Venom	Anxa7
Q9R069	-1.17	17.57	-3.2479477019093563	0.003964948930929337	0.025217075200710586	-2.32	Decreased	Venom + JPM-OEt 100mg vs Venom	Bcam
P62259	-1.14	15.99	-3.2271706221460956	0.004159104663539793	0.02619000560407236	-2.35	Decreased	Venom + JPM-OEt 100mg vs Venom	Ywhae
Q07797	-1.14	19.57	-3.1931407982711475	0.004497271366657914	0.02804180969798464	-2.44	Decreased	Venom + JPM-OEt 100mg vs Venom	Lgals3bp
P30412	-1.84	15.27	-3.1693437317013857	0.004749487879817891	0.029044945111194022	-2.49	Decreased	Venom + JPM-OEt 100mg vs Venom	Ppic
E9PV24	-1.78	20.5	-3.1704509850577574	0.004737453493635496	0.029044945111194022	-2.49	Decreased	Venom + JPM-OEt 100mg vs Venom	Fga
P14152	1.04	20	3.137243453906619	0.005111574027155128	0.03038281384365104	-2.53	Increased	Venom + JPM-OEt 100mg vs Venom	Mdh1
P02088	-4.51	23.98	-3.14306315677415	0.005043998128583579	0.03029378281259612	-2.55	Decreased	Venom + JPM-OEt 100mg vs Venom	Hbb-b1
P06909	-1.42	18.5	-3.1426329400036885	0.005048963802099353	0.03029378281259612	-2.55	Decreased	Venom + JPM-OEt 100mg vs Venom	Cfh
Q01279	-1.26	19.58	-3.1242815046424997	0.005265254250173666	0.03072203397349038	-2.58	Decreased	Venom + JPM-OEt 100mg vs Venom	Egfr
Q9DB20	1.73	16.54	3.1300346638611383	0.005196498039167305	0.03060159956398524	-2.58	Increased	Venom + JPM-OEt 100mg vs Venom	Atp5po
Q8VC30	1.16	17.32	3.083836217063568	0.005774124985060915	0.03249943949913784	-2.59	Increased	Venom + JPM-OEt 100mg vs Venom	Tkfc
Q9D2Z8	1.1	16.42	3.083825078278704	0.005774271483337383	0.03249943949913784	-2.64	Increased	Venom + JPM-OEt 100mg vs Venom	Kif12
Q8K0H1	0.87	16.23	3.089347139232991	0.005702084390723972	0.03249943949913784	-2.66	Increased	Venom + JPM-OEt 100mg vs Venom	Slc47a1
P45952	1.73	18.29	3.088131445642884	0.005717901145448847	0.03249943949913784	-2.67	Increased	Venom + JPM-OEt 100mg vs Venom	Acadm
P19783	0.96	17.04	3.067842867912477	0.0059882185159121125	0.0334079559308781	-2.71	Increased	Venom + JPM-OEt 100mg vs Venom	Cox4i1
Q60928	1.08	20.75	3.0510671183970013	0.0062210312656574614	0.034405007695288224	-2.75	Increased	Venom + JPM-OEt 100mg vs Venom	Ggt1
P02089	-4.8	22.39	-3.0455944633555205	0.006298855680800465	0.03453510528438876	-2.76	Decreased	Venom + JPM-OEt 100mg vs Venom	Hbb-b2
Q8VHY0	-1.15	17.66	-3.0365700879641326	0.006429246592190752	0.03463433417724027	-2.78	Decreased	Venom + JPM-OEt 100mg vs Venom	Cspg4
P32261	-1.77	17.37	-3.03588257789543	0.006439286438254942	0.03463433417724027	-2.78	Decreased	Venom + JPM-OEt 100mg vs Venom	Serpinc1
P51885	-2	17.7	-3.0307879105491513	0.006514158168821286	0.03463433417724027	-2.79	Decreased	Venom + JPM-OEt 100mg vs Venom	Lum
Q91X72	-1.6	20.98	-3.0293946216654044	0.00653478003344156	0.03463433417724027	-2.8	Decreased	Venom + JPM-OEt 100mg vs Venom	Hpx
P35459	-2.07	17.6	-3.0167845714179764	0.006724308447183471	0.03534429894552634	-2.82	Decreased	Venom + JPM-OEt 100mg vs Venom	Ly6d
P08228	1.41	17.48	2.9881434498932076	0.007174689250339453	0.03656251726551056	-2.82	Increased	Venom + JPM-OEt 100mg vs Venom	Sod1
P63101	-1.38	19.21	-3.0064901106400823	0.006882956266024373	0.035881640862225415	-2.84	Decreased	Venom + JPM-OEt 100mg vs Venom	Ywhaz
Q3UMW8	1.09	18.55	2.9991954091772732	0.006997554010221374	0.0361824743943154	-2.86	Increased	Venom + JPM-OEt 100mg vs Venom	Cln5
P18761	1.88	17.12	2.9752720355738975	0.007386434363469563	0.037030610470599794	-2.86	Increased	Venom + JPM-OEt 100mg vs Venom	Ca6
Q61207	1.73	18.56	2.987444897108988	0.007186029336774874	0.03656251726551056	-2.89	Increased	Venom + JPM-OEt 100mg vs Venom	Psap
Q8R366	-1.17	18.49	-2.9747901671990293	0.007394477248060021	0.037030610470599794	-2.9	Decreased	Venom + JPM-OEt 100mg vs Venom	Igsf8
Q9QWR8	0.94	19.93	2.9666724506852082	0.007531244790988075	0.037420872555221994	-2.93	Increased	Venom + JPM-OEt 100mg vs Venom	Naga
P28271	1.27	17.32	2.9328233180004504	0.008128231715745787	0.03946225474209405	-2.96	Increased	Venom + JPM-OEt 100mg vs Venom	Aco1
Q60932	1.76	22.87	2.935160100476608	0.008085597152145763	0.03946225474209405	-3	Increased	Venom + JPM-OEt 100mg vs Venom	Vdac1
Q60931	1.87	20.02	2.9345851621349315	0.008096066914537292	0.03946225474209405	-3	Increased	Venom + JPM-OEt 100mg vs Venom	Vdac3
P26041	0.89	18.73	2.912329025251005	0.00851151888308497	0.04101004552759122	-3.03	Increased	Venom + JPM-OEt 100mg vs Venom	Msn
Q8R0I0	-0.91	18.28	-2.906066957701326	0.008632054269968898	0.04127809410300917	-3.06	Decreased	Venom + JPM-OEt 100mg vs Venom	Ace2
P05064	-2.67	18.63	-2.879472641832998	0.009162448391480909	0.0434874416192676	-3.11	Decreased	Venom + JPM-OEt 100mg vs Venom	Aldoa
Q922U2	1.79	19.19	2.8415208975790627	0.00997372236747913	0.04698731426456834	-3.12	Increased	Venom + JPM-OEt 100mg vs Venom	Krt5
P63017	-1.21	19.27	-2.817659479408268	0.010518508496565585	0.04847660437547618	-3.19	Decreased	Venom + JPM-OEt 100mg vs Venom	Hspa8
Q80YC5	-1.15	17.64	-2.800049301696816	0.010938680644588774	0.04969286349970328	-3.19	Decreased	Venom + JPM-OEt 100mg vs Venom	F12
P12246	-0.83	21.07	-2.8251401385368426	0.010344727069583143	0.04837681188422705	-3.22	Decreased	Venom + JPM-OEt 100mg vs Venom	Apcs
Q4KML4	-1.43	18.98	-2.817840579437209	0.01051426865855593	0.04847660437547618	-3.24	Decreased	Venom + JPM-OEt 100mg vs Venom	Abracl
Q60930	1.8	21.48	2.8084359418671405	0.010736618539098313	0.049125822955874296	-3.26	Increased	Venom + JPM-OEt 100mg vs Venom	Vdac2
P29533	-1.17	23.12	-2.7959208557609334	0.011039476613016283	0.049795085999137276	-3.28	Decreased	Venom + JPM-OEt 100mg vs Venom	Vcam1
